link,name,year,genre,rating,original name
https://www.imdb.com//title/tt0111161/,Les Évadés,1994,Drama,9.3,The Shawshank Redemption
https://www.imdb.com//title/tt0068646/,Le Parrain,1972,"Crime, Drama",9.2,The Godfather
https://www.imdb.com//title/tt0468569/,The Dark Knight : Le Chevalier noir,2008,"Action, Crime, Drama",9.1,The Dark Knight
https://www.imdb.com//title/tt0071562/,"Le Parrain, 2ᵉ partie",1974,"Crime, Drama",9.0,The Godfather: Part II
https://www.imdb.com//title/tt0050083/,12 Hommes en colère,1957,"Crime, Drama",9.0,12 Angry Men
https://www.imdb.com//title/tt0108052/,La liste de Schindler,1993,"Biography, Drama, History",9.0,Schindler's List
https://www.imdb.com//title/tt0167260/,Le Seigneur des anneaux : Le Retour du roi,2003,"Action, Adventure, Drama",9.0,The Lord of the Rings: The Return of the King
https://www.imdb.com//title/tt0110912/,Pulp Fiction,1994,"Crime, Drama",8.9,Pulp Fiction
https://www.imdb.com//title/tt0120737/,Le Seigneur des anneaux : La Communauté de l'anneau,2001,"Action, Adventure, Drama",8.9,The Lord of the Rings: The Fellowship of the Ring
https://www.imdb.com//title/tt0060196/,"Le Bon, la brute, le truand",1966,"Adventure, Western",8.8,"Il buono, il brutto, il cattivo"
